1782550379	32
1782550382	18496
1782550385	18496
1782550389	18768
1782550392	19360
1782550395	19504
1782550398	20224
1782550401	20384
1782550404	21392
1782550407	1575488
1782550410	4496352
1782550413	5962112
1782550416	6715968
1782550419	4073920
1782550422	4938656
1782550425	4962784
1782550429	4881808
1782550432	4683776
1782550435	4538848
1782550438	4339968
1782550441	4350592
1782550444	5297424
1782550447	3865648
1782550450	4249760
1782550453	1327328
1782550456	2627904
1782550459	6845536
1782550462	5191264
1782550465	6466432
1782550468	11129616
1782550473	14818384
1782550476	4397600
1782550479	4147008
1782550482	4413216
1782550485	5162480
1782550489	4489136
1782550492	2066704
1782550495	4730752
1782550498	9105408
1782550501	3320992
1782550504	14154352
1782550507	13727424
1782550511	4856752
1782550514	7380576
1782550517	7989152
1782550520	16367712
1782550523	10245984
1782550526	5906912
1782550529	5381152
1782550532	5404848
1782550535	5429392
1782550538	5323040
1782550541	4898432
1782550544	4435632
1782550547	5396640
1782550550	5303936
1782550553	4163344
1782550556	3647072
1782550559	5635280
1782550562	6396192
1782550566	3168768
1782550569	7140704
1782550572	8990432
1782550575	12898784
1782550578	4509296
1782550581	3971520
1782550584	4568384
1782550588	4924384
1782550591	4641424
1782550594	12550432
1782550597	13200336
1782550600	5163584
1782550604	6578080
1782550607	11546384
1782550610	10063008
1782550613	12518400
1782550616	8979104
1782550619	9050672
1782550622	8141248
1782550626	15297888
1782550629	7540640
1782550632	9951568
1782550635	5321024
1782550638	5429616
1782550641	5078304
1782550644	5450064
1782550647	6754832
1782550650	4516240
1782550653	4898960
1782550656	5506496
1782550659	4953952
1782550662	6725200
1782550665	6004464
1782550668	5504800
1782550671	3841520
1782550674	7933408
1782550677	4899568
1782550680	5094400
1782550684	5743008
1782550688	9226352
1782550691	4547568
1782550694	3617808
1782550697	13440080
1782550700	3491040
1782550703	13064336
1782550706	6001344
1782550709	5013648
1782550713	4227456
1782550716	6732336
1782550719	5216240
1782550722	4553600
1782550725	8735264
1782550728	14240256
1782550731	5936288
1782550734	6516464
1782550737	8523488
1782550740	5047040
1782550744	4567712
1782550747	5119680
1782550750	2825392
1782550753	5100928
1782550756	4653696
1782550759	7725408
1782550762	8657072
1782550765	5257008
1782550768	5278976
1782550771	5327648
1782550774	5145392
1782550777	6141936
1782550780	3586672
1782550783	6670624
1782550787	5395008
1782550790	6117504
1782550793	8798000
1782550796	8470816
1782550800	5399536
1782550803	3193600
1782550806	11940976
1782550809	8324144
1782550812	14338768
1782550815	12564944
1782550818	8160176
1782550821	5873488
1782550825	6019600
1782550828	5939904
1782550831	5431296
1782550834	5037888
1782550837	7074480
1782550841	13341760
1782550844	9805488
1782550847	9299568
1782550850	5336848
1782550853	5893776
1782550856	4964752
1782550859	6034976
1782550862	4742544
1782550866	10164752
1782550869	6934608
1782550872	6579952
1782550875	8627408
1782550878	5152768
1782550881	5253952
1782550884	5644528
1782550887	4883056
1782550890	5774288
1782550893	8539392
1782550897	5214016
1782550900	3347888
1782550903	13478928
1782550906	4203152
1782550909	6865328
1782550912	14342048
1782550915	14163344
1782550918	7666640
1782550922	8711104
1782550925	5326624
1782550928	12550848
1782550931	16079360
1782550934	9523328
1782550937	11335216
1782550940	12159728
1782550943	13456224
1782550946	5985392
1782550950	5059360
1782550953	4593040
1782550956	5104224
1782550959	6937440
1782550962	6112768
1782550965	5266432
1782550968	6186464
1782550971	4911248
1782550974	4780224
1782550977	4800848
1782550980	4631088
1782550983	5364416
1782550986	4995008
1782550989	5017584
1782550993	8664624
1782550996	4177376
1782550999	7135760
1782551002	4031456
1782551005	3043632
1782551008	8209632
1782551011	5621952
1782551014	4731840
1782551017	5051568
1782551020	2393504
1782551023	6746960
1782551026	5092448
1782551029	5251440
1782551033	9689344
1782551036	13752000
1782551039	7392992
1782551042	9354864
1782551045	7260528
1782551049	5160096
1782551052	5133712
1782551055	13026112
1782551058	14231472
1782551062	15615664
1782551065	6816768
1782551068	5620592
1782551071	8251648
1782551074	8493264
1782551077	5104448
1782551080	6111968
1782551083	5896416
1782551086	6239728
1782551089	9890944
1782551092	8036656
1782551095	9721056
1782551099	10268640
1782551102	5426464
1782551105	5651328
1782551109	5032192
1782551112	4683344
1782551115	6940448
1782551118	8238272
1782551122	5664384
1782551125	9632752
1782551128	14812832
1782551131	4205248
1782551134	8929760
1782551137	9176432
1782551140	13046688
1782551143	5618432
1782551147	8342352
1782551150	5585856
1782551153	7886944
1782551156	5602208
1782551159	4419472
1782551162	13348592
1782551165	12767824
1782551168	14279632
1782551172	14991920
1782551175	15615408
1782551178	6718128
1782551181	5593376
1782551184	4309104
1782551188	9829712
1782551191	5466768
1782551194	5658320
1782551197	5120560
1782551200	5941568
1782551203	6694512
1782551206	6762560
1782551209	7248304
1782551212	10958976
1782551215	10836752
1782551218	6848800
1782551221	9036032
1782551224	11487968
1782551227	7314720
1782551231	5370432
1782551234	5640592
1782551237	6138832
1782551240	6823888
1782551243	7558304
1782551246	5412048
1782551249	5522752
1782551252	4888848
1782551256	3252784
1782551259	5659888
1782551262	6426912
1782551265	6448592
1782551268	5953744
1782551271	7556544
1782551274	6588208
1782551277	8369344
1782551281	6567520
1782551284	8866368
1782551287	12317488
1782551290	2744048
1782551293	6262704
1782551296	7206112
1782551299	3934480
1782551302	8493568
1782551305	8863984
1782551308	9877408
1782551311	12938240
1782551315	15027952
1782551318	7438352
1782551321	8114000
1782551325	9311360
1782551328	4913872
1782551332	13046800
1782551335	9438336
1782551338	11302736
1782551341	11735072
1782551344	12038448
1782551347	12670672
1782551350	6205904
1782551353	5375392
1782551357	5279232
1782551360	5364624
1782551363	6459872
1782551366	5087216
1782551369	5557888
1782551372	5873584
1782551375	5652256
1782551378	3150864
1782551381	7175120
1782551385	6715008
1782551388	6715008
1782551391	9317376
1782551394	14242192
1782551397	5233120
1782551400	5437392
1782551403	7975376
1782551406	7344704
1782551409	4518976
1782551412	5563808
1782551415	5592640
1782551419	5070896
1782551422	5129712
1782551426	4400016
1782551429	5053696
1782551432	8774928
1782551435	13217616
1782551438	13569728
1782551441	3733504
1782551444	4641888
1782551448	5614432
1782551451	7784400
1782551454	9526880
1782551457	7575280
1782551460	11031648
1782551463	14582416
1782551466	3601408
1782551469	4520608
1782551472	8453312
1782551475	9888896
1782551478	14331056
1782551482	14796208
1782551485	6338160
1782551488	5772176
1782551491	6469600
1782551494	7806464
1782551497	5360848
1782551501	5494064
1782551504	5278528
1782551507	5322768
1782551510	3973552
1782551513	5363392
1782551516	10345568
1782551519	10346576
1782551522	11693248
1782551526	11976080
1782551529	6623712
1782551532	5473072
1782551535	5320336
1782551538	4667456
1782551541	6553632
1782551545	5968016
1782551548	4713872
1782551551	3195440
1782551554	10827856
1782551557	11474208
1782551560	12512112
1782551564	13136432
1782551567	7401344
1782551570	6552480
1782551573	7914976
1782551576	6927152
1782551579	6670624
1782551582	8531520
1782551585	13078544
1782551588	10943184
1782551591	10624768
1782551594	11266336
1782551598	11281184
1782551601	11284688
1782551604	11315088
1782551607	8651952
1782551611	5450512
1782551614	5383232
1782551617	5408528
1782551620	5021648
1782551623	4963472
1782551626	7559632
1782551630	10627248
1782551633	11151136
1782551636	11406992
1782551639	11546416
1782551642	11472928
1782551645	11995904
1782551648	11424640
1782551652	5267216
1782551655	5716704
1782551658	2781456
1782551661	3154848
1782551664	9426864
1782551667	5831344
1782551671	8360592
1782551674	10106832
